step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
3,3,1,0.8915,0.0086,0.7717,0.8031,[],Mysuru,exp1_baseline
4,4,1,0.8951,0.0086,0.7717,0.8175,[],Mysuru,exp1_baseline
5,5,1,0.8987,0.0086,0.7717,0.8319,[],Mysuru,exp1_baseline
6,6,1,0.9593,0.0087,0.9708,0.8753,[],Mysuru,exp1_baseline
7,7,1,0.9677,0.0087,0.9708,0.9096,[],Mysuru,exp1_baseline
8,8,1,0.9741,0.0087,0.9708,0.9353,[],Mysuru,exp1_baseline
9,9,1,0.9796,0.0087,0.9708,0.9575,[],Mysuru,exp1_baseline
10,10,1,0.9605,0.0087,0.8774,0.9742,[],Mysuru,exp1_baseline
11,11,1,0.9642,0.0087,0.8774,0.9883,[],Mysuru,exp1_baseline
12,12,1,0.9663,0.0087,0.8774,0.9964,[],Mysuru,exp1_baseline
13,1,2,0.9793,0.0087,0.9271,0.9989,[],Mysuru,exp1_baseline
14,2,2,0.9794,0.0087,0.9271,0.9991,[],Mysuru,exp1_baseline
15,3,2,0.94,0.0086,0.7717,0.997,[],Mysuru,exp1_baseline
16,4,2,0.9396,0.0086,0.7717,0.9954,[],Mysuru,exp1_baseline
17,5,2,0.9392,0.0086,0.7717,0.9939,[],Mysuru,exp1_baseline
18,6,2,0.9902,0.0087,0.9708,0.999,[],Mysuru,exp1_baseline
19,7,2,0.9903,0.0087,0.9708,0.9994,[],Mysuru,exp1_baseline
20,8,2,0.9902,0.0087,0.9708,0.9995,[],Mysuru,exp1_baseline
21,9,2,0.9902,0.0087,0.9708,0.9995,[],Mysuru,exp1_baseline
22,10,2,0.9668,0.0087,0.8774,0.9988,[],Mysuru,exp1_baseline
23,11,2,0.9668,0.0087,0.8774,0.9987,[],Mysuru,exp1_baseline
24,12,2,0.9668,0.0087,0.8774,0.9987,[],Mysuru,exp1_baseline
1,1,1,0.9246,0.0095,0.97,0.7377,[],Mangaluru,exp1_baseline
2,2,1,0.9335,0.0093,0.9697,0.7736,[],Mangaluru,exp1_baseline
3,3,1,0.9408,0.0094,0.9633,0.8092,[],Mangaluru,exp1_baseline
4,4,1,0.949,0.007,0.9599,0.8434,[],Mangaluru,exp1_baseline
5,5,1,0.9558,0.0051,0.9572,0.8713,[],Mangaluru,exp1_baseline
6,6,1,0.9615,0.004,0.9587,0.8915,[],Mangaluru,exp1_baseline
7,7,1,0.9619,0.0087,0.9499,0.9067,[],Mangaluru,exp1_baseline
8,8,1,0.9682,0.004,0.9563,0.9204,[],Mangaluru,exp1_baseline
9,9,1,0.9713,0.004,0.9563,0.9329,[],Mangaluru,exp1_baseline
10,10,1,0.9764,0.0094,0.9701,0.9448,[],Mangaluru,exp1_baseline
11,11,1,0.9791,0.0092,0.9702,0.9555,[],Mangaluru,exp1_baseline
12,12,1,0.9816,0.0092,0.9702,0.9655,[],Mangaluru,exp1_baseline
13,1,2,0.9838,0.0095,0.97,0.9746,[],Mangaluru,exp1_baseline
14,2,2,0.9858,0.0093,0.9697,0.9829,[],Mangaluru,exp1_baseline
15,3,2,0.9859,0.0094,0.9633,0.9898,[],Mangaluru,exp1_baseline
16,4,2,0.9869,0.007,0.9599,0.9949,[],Mangaluru,exp1_baseline
17,5,2,0.9875,0.0051,0.9572,0.9978,[],Mangaluru,exp1_baseline
18,6,2,0.9884,0.004,0.9587,0.9989,[],Mangaluru,exp1_baseline
19,7,2,0.985,0.0087,0.9499,0.9989,[],Mangaluru,exp1_baseline
20,8,2,0.9878,0.004,0.9563,0.9991,[],Mangaluru,exp1_baseline
21,9,2,0.9878,0.004,0.9563,0.9991,[],Mangaluru,exp1_baseline
22,10,2,0.99,0.0094,0.9701,0.9994,[],Mangaluru,exp1_baseline
23,11,2,0.9901,0.0092,0.9702,0.9995,[],Mangaluru,exp1_baseline
24,12,2,0.9901,0.0092,0.9702,0.9995,[],Mangaluru,exp1_baseline
1,1,1,0.9275,0.0087,0.9708,0.748,[],Hubballi-Dharwad,exp1_baseline
2,2,1,0.9391,0.0087,0.9708,0.7942,[],Hubballi-Dharwad,exp1_baseline
3,3,1,0.8922,0.0086,0.7689,0.8083,[],Hubballi-Dharwad,exp1_baseline
4,4,1,0.8956,0.0086,0.7689,0.8224,[],Hubballi-Dharwad,exp1_baseline
5,5,1,0.8991,0.0086,0.7689,0.8365,[],Hubballi-Dharwad,exp1_baseline
6,6,1,0.9602,0.0087,0.9708,0.8792,[],Hubballi-Dharwad,exp1_baseline
7,7,1,0.9685,0.0087,0.9708,0.9126,[],Hubballi-Dharwad,exp1_baseline
8,8,1,0.9747,0.0087,0.9708,0.9378,[],Hubballi-Dharwad,exp1_baseline
9,9,1,0.9802,0.0087,0.9708,0.9598,[],Hubballi-Dharwad,exp1_baseline
10,10,1,0.9852,0.0087,0.9708,0.9797,[],Hubballi-Dharwad,exp1_baseline
11,11,1,0.989,0.0087,0.9708,0.9941,[],Hubballi-Dharwad,exp1_baseline
12,12,1,0.9902,0.0087,0.9708,0.9989,[],Hubballi-Dharwad,exp1_baseline
13,1,2,0.9904,0.0087,0.9708,0.9994,[],Hubballi-Dharwad,exp1_baseline
14,2,2,0.9904,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
15,3,2,0.9393,0.0086,0.7689,0.997,[],Hubballi-Dharwad,exp1_baseline
16,4,2,0.9388,0.0086,0.7689,0.9952,[],Hubballi-Dharwad,exp1_baseline
17,5,2,0.9383,0.0086,0.7689,0.9936,[],Hubballi-Dharwad,exp1_baseline
18,6,2,0.9901,0.0087,0.9708,0.9989,[],Hubballi-Dharwad,exp1_baseline
19,7,2,0.9902,0.0087,0.9708,0.9994,[],Hubballi-Dharwad,exp1_baseline
20,8,2,0.9902,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
21,9,2,0.9902,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
22,10,2,0.9903,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
23,11,2,0.9904,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
24,12,2,0.9904,0.0087,0.9708,0.9995,[],Hubballi-Dharwad,exp1_baseline
1,1,1,0.9275,0.0087,0.9708,0.748,[],Belagavi,exp1_baseline
2,2,1,0.9391,0.0087,0.9708,0.7943,[],Belagavi,exp1_baseline
3,3,1,0.9506,0.0087,0.9708,0.8405,[],Belagavi,exp1_baseline
4,4,1,0.9618,0.0087,0.9708,0.8853,[],Belagavi,exp1_baseline
5,5,1,0.9707,0.0087,0.9708,0.921,[],Belagavi,exp1_baseline
6,6,1,0.9771,0.0087,0.9708,0.9464,[],Belagavi,exp1_baseline
7,7,1,0.9824,0.0087,0.9708,0.9679,[],Belagavi,exp1_baseline
8,8,1,0.9871,0.0087,0.9708,0.9866,[],Belagavi,exp1_baseline
9,9,1,0.9898,0.0087,0.9708,0.9972,[],Belagavi,exp1_baseline
10,10,1,0.9903,0.0087,0.9708,0.9993,[],Belagavi,exp1_baseline
11,11,1,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
12,12,1,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
13,1,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
14,2,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
15,3,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
16,4,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
17,5,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
18,6,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
19,7,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
20,8,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
21,9,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
22,10,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
23,11,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
24,12,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp1_baseline
